0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:32:09 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:32:09 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:32:09 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:32:09 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:32:09 +0900] "GET /LearnJapanese/css/picture/audio2.mp3 HTTP/1.1" 206 407255
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:04 +0900] "GET /LearnJapanese HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:04 +0900] "GET /LearnJapanese/ HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:04 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:06 +0900] "POST /LearnJapanese/MenuController HTTP/1.1" 200 3551
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:13 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:14 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:37:14 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:38:13 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:38:13 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:38:13 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:38:13 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:38:13 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:40:15 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:40:15 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:40:15 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:40:15 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:40:16 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:41:38 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:41:38 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:41:38 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:41:38 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:41:38 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:01 +0900] "GET /LearnJapanese/Choukai.jsp HTTP/1.1" 200 3604
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:01 +0900] "GET /LearnJapanese/css/Choukai.css HTTP/1.1" 200 1482
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:01 +0900] "GET /LearnJapanese/js/Choukai.js HTTP/1.1" 200 995
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:01 +0900] "GET /LearnJapanese/css/picture/tan.png HTTP/1.1" 200 57960
0:0:0:0:0:0:0:1 - - [29/Jul/2016:11:44:02 +0900] "GET /LearnJapanese/css/picture/audio1.mp3 HTTP/1.1" 206 285910
